No.,Date/Time,Ch1 - Value (°C),Ch2 - Value (%RH)
1,01/07/2026 08:00:00,29.4,52.1
2,01/07/2026 08:05:00,29.8,51.4
3,01/07/2026 08:10:00,30.2,50.9
4,01/07/2026 08:15:00,30.9,49.8
5,01/07/2026 08:20:00,31.6,49.0
6,01/07/2026 08:25:00,32.3,48.4
7,01/07/2026 08:30:00,33.1,47.9
8,01/07/2026 08:35:00,33.9,50.2
9,01/07/2026 08:40:00,34.6,52.8
10,01/07/2026 08:45:00,35.2,55.1
11,01/07/2026 08:50:00,35.9,58.3
12,01/07/2026 08:55:00,36.4,61.7
13,01/07/2026 09:00:00,37.0,64.2
14,01/07/2026 09:05:00,37.5,66.8
15,01/07/2026 09:10:00,38.1,69.5
